Admin,Active,Semi-Active,Inactive
Metamagician3000,0,1,0
Metropolitan90,1,0,0
Mfield,1,0,0
Michael Greiner,0,1,0
Michael Hardy,1,0,0
Michael Snow,1,0,0
Michig,0,0,1
Mifter,0,1,0
Mike Cline,0,1,0
Mike Peel,0,1,0
Mike Rosoft,0,1,0
Mike Selinker,1,0,0
Mikeblas,1,0,0
MilborneOne,0,0,1
Mindmatrix,1,0,0
Minesweeper,0,1,0
Miniapolis,1,0,0
MisfitToys,1,0,0
Missvain,0,1,0
Mitchazenia,1,0,0
Mjroots,1,0,0
Mkdw,1,0,0
Mlaffs,0,0,1
MoRsE,0,1,0
Moabdave,0,1,0
Mojo Hand,1,0,0
Moncrief,1,0,0
Moneytrees,1,0,0
Montrealais,0,1,0
Moonriddengirl,0,1,0
Morwen,1,0,0
Mr. Stradivarius,0,1,0
MrKIA11,0,0,1
Muboshgu,1,0,0
MusikAnimal,0,1,0
MusikBot II,1,0,0
Mz7,1,0,0
NJA,0,1,0
Nabla,0,1,0
NaomiAmethyst,0,1,0
NativeForeigner,0,1,0
Necrothesp,1,0,0
Neutrality,0,1,0
Newslinger,1,0,0
Newyorkbrad,1,0,0
Nick,0,1,0
Nick Moyes,0,1,0
Nick-D,1,0,0
Nightstallion,1,0,0
Nihiltres,1,0,0
NinjaRobotPirate,1,0,0
Nlu,0,0,1
NoSeptember,1,0,0
Novem Linguae,1,0,0
Nthep,1,0,0
Number 57,1,0,0
Nyttend,1,0,0
ONUnicorn,1,0,0
Ocaasi,0,1,0
OhanaUnited,1,0,0
Ohnoitsjamie,1,0,0
OlEnglish,0,1,0
Olivier,0,1,0
Omegatron,0,1,0
Orangemike,0,1,0
Orlady,0,1,0
Oshwah,1,0,0
OverlordQ,0,0,1
Owen,0,1,0
OwenX,1,0,0
PFHLai,1,0,0
Parsecboy,1,0,0
Patar knight,1,0,0
Patrick,0,1,0
Paul August,1,0,0
Paul Erik,1,0,0
Paulmcdonald,0,0,1
Pax:Vobiscum,0,1,0
Peacemaker67,1,0,0
Peaceray,1,0,0
PedanticallySpeaking,1,0,0
Pedro,0,1,0
Pegship,1,0,0
Pengo,0,1,0
Peteforsyth,0,1,0
Phantomsteve,1,0,0
Pharos,1,0,0
Phil Boswell,0,1,0
PhilKnight,1,0,0
Pickersgill-Cunliffe,0,0,1
Pinkville,0,1,0
Plastikspork,1,0,0
Ponyo,1,0,0
Postdlf,0,1,0
Pppery,1,0,0
Premeditated Chaos,1,0,0
PresN,1,0,0
PrimeHunter,1,0,0
Primefac,1,0,0
ProhibitOnions,0,1,0
Prolog,0,1,0
Protection Helper Bot,1,0,0
Proteus,0,1,0
Pschemp,0,1,0
QEDK,1,0,0
Quarl,0,1,0
Queen of Hearts,1,0,0
R'n'B,0,0,0
RJFJR,1,0,0
RL0919,1,0,0
Ragesoss,0,1,0
Randykitty,1,0,0
Rbrwr,1,0,0
ReaderofthePack,1,0,0
Reaper Eternal,0,1,0
Red Phoenix,0,1,0
Red-tailed hawk,0,1,0
RedWolf,1,0,0
Redrose64,1,0,0
Reedy,0,1,0
RegentsPark,1,0,0
Rehman,0,1,0
Remember the dot,0,1,0
Renata3,1,0,0
Richwales,0,1,0
Rick Block,0,1,0
RickinBaltimore,0,1,0
Rigadoun,0,1,0
Risker,1,0,0
Ritchie333,1,0,0
Rjjiii,1,0,0
Rklawton,0,1,0
Rlandmann,0,0,1
Rlendog,1,0,0
Rmhermen,1,0,0
RobLa,0,1,0
RobertG,0,1,0
Robertsky,1,0,0
Robin Patterson,0,0,1
RockMagnetist,0,1,0
Rogerd,1,0,0
Rosguill,1,0,0
Rosiestep,1,0,0
RoySmith,1,0,0
Rsjaffe,1,0,0
Ruhrfisch,0,0,1
Runningonbrains,1,0,0
Rusalkii,1,0,0
Ruslik0,1,0,0
SD0001,1,0,0
SQL,0,0,1
ST47,0,1,0
Sadads,1,0,0
Salix alba,0,1,0
Salvio giuliano,0,1,0
Sam,0,1,0
Samir,0,1,0
Samwalton9,1,0,0
Sandstein,1,0,0
Sarahj2107,0,0,1
SarekOfVulcan,1,0,0
Sasquatch,1,0,0
Saxifrage,0,1,0
Schutz,0,1,0
Schwede66,1,0,0
Scott Burley,0,0,1
